2018-01-01 09:05:06,534.67,837.21,9.9
2018-01-01 09:10:22,534.72,569.62,9.95
2018-01-01 09:15:05,534.81,1144.88,10.04
2018-01-01 09:20:15,534.93,1389.07,10.16
2018-01-01 09:25:05,535.01,993.10,10.24
2018-01-01 09:30:06,535.05,476.82,10.28
2018-01-01 09:35:18,535.12,807.69,10.35
2018-01-01 09:40:10,535.23,1356.16,10.46
2018-01-01 09:45:11,535.30,834.44,10.53
2018-01-01 09:50:27,535.41,1253.16,10.64
2018-01-01 09:55:05,535.54,1683.45,10.77
2018-01-01 10:00:14,535.65,1281.55,10.88
2018-01-01 10:05:29,535.72,797.47,10.95
2018-01-01 10:10:07,535.81,1165.47,11.04
2018-01-01 10:15:09,535.88,834.44,11.11
2018-01-01 10:20:24,535.91,341.77,11.14
2018-01-01 10:25:11,535.94,376.31,11.17
2018-01-01 10:30:11,535.99,598.01,11.22
2018-01-01 10:35:27,536.04,567.82,11.27
2018-01-01 10:40:06,536.08,516.13,11.31
2018-01-01 10:45:16,536.12,464.52,11.35
2018-01-01 10:50:32,536.15,341.77,11.38
2018-01-01 10:55:07,536.18,392.73,11.41
2018-01-01 11:00:18,536.21,346.15,11.44
2018-01-01 11:05:06,536.26,625.00,11.49
2018-01-01 11:10:12,536.30,470.59,11.53
2018-01-01 11:15:28,536.40,1139.24,11.63
2018-01-01 11:20:05,536.51,1429.60,11.74
2018-01-01 11:25:14,536.63,1398.06,11.86
2018-01-01 11:30:06,536.74,1356.16,11.97
2018-01-01 11:35:08,536.82,953.64,12.05
2018-01-01 11:40:24,536.91,1025.32,12.14
2018-01-01 11:45:06,536.98,893.62,12.21
2018-01-01 11:50:10,537.03,592.11,12.26
2018-01-01 11:55:26,537.10,797.47,12.33
2018-01-01 12:00:09,537.17,890.46,12.4
2018-01-01 12:05:06,537.25,969.70,12.48
2018-01-01 12:10:22,537.30,569.62,12.53
2018-01-01 12:15:08,537.35,629.37,12.58
2018-01-01 12:20:08,537.39,480.00,12.62
2018-01-01 12:25:24,537.42,341.77,12.65
2018-01-01 12:30:08,537.46,507.04,12.69
2018-01-01 12:35:13,537.58,1416.39,12.81
2018-01-01 12:40:29,537.69,1253.16,12.92
2018-01-01 12:45:10,537.76,896.80,12.99
2018-01-01 12:50:15,537.83,826.23,13.06
2018-01-01 12:55:09,537.90,857.14,13.13
2018-01-01 13:00:09,538.07,2040.00,13.3
2018-01-01 13:05:25,538.25,2050.63,13.48
2018-01-01 13:10:07,538.36,1404.26,13.59
2018-01-01 13:15:11,538.40,473.68,13.63
2018-01-01 13:20:06,538.44,488.14,13.67
2018-01-01 13:25:07,538.55,1315.61,13.78
2018-01-01 13:30:20,538.64,1035.14,13.87
2018-01-01 13:35:09,538.66,248.28,13.89
2018-01-01 13:40:07,538.70,483.22,13.93
2018-01-01 13:45:22,538.75,571.43,13.98
2018-01-01 13:50:06,538.79,507.04,14.02
2018-01-01 13:55:07,538.82,358.80,14.05
2018-01-01 14:00:18,538.86,463.02,14.09
2018-01-01 14:05:04,538.90,501.74,14.13
2018-01-01 14:10:05,538.93,358.80,14.16
2018-01-01 14:15:21,538.95,227.85,14.18
2018-01-01 14:20:10,538.99,498.27,14.22
2018-01-01 14:25:09,539.02,360.00,14.25
2018-01-01 14:30:25,539.05,341.77,14.28
2018-01-01 14:35:06,539.08,384.34,14.31
2018-01-01 14:40:12,539.11,352.94,14.34
2018-01-01 14:45:05,539.16,614.33,14.39
2018-01-01 14:50:05,539.19,360.00,14.42
2018-01-01 14:55:21,539.23,455.70,14.46
2018-01-01 15:00:08,539.25,250.00,14.48
2018-01-01 15:05:08,539.28,360.00,14.51
2018-01-01 15:10:24,539.33,569.62,14.56
2018-01-01 15:15:04,539.36,385.71,14.59
2018-01-01 15:20:17,539.40,460.06,14.63
2018-01-01 15:25:06,539.43,373.70,14.66
2018-01-01 15:30:06,539.47,480.00,14.7
2018-01-01 15:35:19,539.51,460.06,14.74
2018-01-01 15:40:05,539.56,629.37,14.79
2018-01-01 15:45:07,539.62,715.23,14.85
2018-01-01 15:50:15,539.68,701.30,14.91
2018-01-01 15:55:06,539.75,865.98,14.98
2018-01-01 16:00:08,539.80,596.03,15.03
2018-01-01 16:05:17,539.87,815.53,15.1
2018-01-01 16:10:06,539.94,868.97,15.17
2018-01-01 16:15:06,540.00,720.00,15.23
2018-01-01 16:20:21,540.07,800.00,15.3
2018-01-01 16:25:07,540.13,752.61,15.36
2018-01-01 16:30:08,540.18,598.01,15.41
2018-01-01 16:35:24,540.23,569.62,15.46
2018-01-01 16:40:05,540.31,1024.91,15.54
2018-01-01 16:45:18,540.41,1150.16,15.64
2018-01-01 16:50:05,540.48,878.05,15.71
2018-01-01 16:55:07,540.59,1311.26,15.82
2018-01-01 17:00:20,540.76,1955.27,15.99
2018-01-01 17:05:05,541.01,3157.89,16.24
2018-01-01 17:10:13,541.53,6058.25,16.76
2018-01-01 17:15:04,541.99,5690.72,17.22
2018-01-01 17:20:07,542.38,4633.66,17.61
2018-01-01 17:25:16,542.85,5475.73,18.08
2018-01-01 17:30:31,543.26,4685.71,18.49
2018-01-01 17:35:09,543.55,3755.40,18.78
2018-01-01 17:40:11,543.72,2026.49,18.95
